COMPOUND_ID	ASSAY_ID	MEASUREMENT_TYPE	STATUS	VALUE	UPPER_VALUE	UNIT	SD_MINUS	SD_PLUS	ACTIVITY_COMMENT
1	3	IC50	>	5000		nM			
1	4	% inhibition	=	50		% at 120 uM			
1	5	% inhibition	=	25		% at 120 uM			
1	18	% inhibition	=	60		% at 120 uM			
2	1	IC50	=	11960		nM			
2	3	IC50	>	5000		nM			
2	24	IC50	=	12400		nM			
2	5	% inhibition	=	25		% at 120 uM			
3	3	IC50	>	5000		nM			
3	4	% inhibition	=	50		% at 120 uM			
3	5	% inhibition	=	20		% at 120 uM			
3	18	% inhibition	=	75		% at 120 uM			
4	1	IC50	=	404		nM			
4	3	IC50	=	818		nM			
4	24	IC50	=	375		nM			
4	5	% inhibition	=	20		% at 120 uM			
4	7	solubility	=	50	100	ug mL-1			
4	8	solubility	=	50	100	ug mL-1			
4	9	degradation	=	29		uL min-1 mg-1 			
4	10	half-life	=	59		min			
4	11	composite descriptor							moderate
4	12	IC50	>	33		uM			
4	13	In Vivo				at 50 mg kg-1			negative
4	14	IC50	=	581		nM			
4	15	IC50	=	641		nM			
5	1	IC50	=	345		nM			
5	3	IC50	=	245		nM			
5	24	IC50	=	152		nM			
5	5	% inhibition	=	20		% at 120 uM			
5	7	solubility	=	12.5	25	ug mL-1			
5	8	solubility	=	12.5	25	ug mL-1			
5	9	degradation	=	60		uL min-1 mg-1 			
5	10	half-life	=	29		min			
5	11	composite descriptor							moderate
5	13	In Vivo				at 50 mg kg-1			negative
5	22	IC50	=	0		nM			
6	1	IC50	=	47		nM			
6	3	IC50	=	47		nM			
6	24	IC50	=	66		nM			
6	5	% inhibition	=	75		% at 120 uM			
6	7	solubility	=	0	1.6	ug mL-1			
6	8	solubility	=	0	1.6	ug mL-1			
6	11	composite descriptor							rapid non-NADPH acetamide hydrolysis to OSM-S-10
6	22	IC50	=	28		nM			
7	1	IC50	=	176		nM			
7	24	IC50	=	361		nM			
7	5	% inhibition	=	25		% at 120 uM			
7	7	solubility	=	0	1.6	ug mL-1			
7	8	solubility	=	1	1.6	ug mL-1			
7	9	degradation	=	15	19	uL min-1 mg-1 			
7	10	half-life	=	92	113	min			
7	11	composite descriptor							moderate
8	4	% inhibition	=	50		% at 120 uM			
8	5	% inhibition	=	0		% at 120 uM			
8	18	% inhibition	=	70		% at 120 uM			
9	4	% inhibition	=	0		% at 120 uM			
9	5	% inhibition	=	0		% at 120 uM			
9	18	% inhibition	=	70		% at 120 uM			
10	4	% inhibition	=	0		% at 120 uM			
10	5	% inhibition	=	0		% at 120 uM			
10	18	% inhibition	=	25		% at 120 uM			
11	3	IC50	>	5000		nM			
11	19	% inhibition	=	0		% at 80 uM			
12	2	IC50	>	1000		nM			
12	3	IC50	>	5000		nM			
12	19	% inhibition	=	25	80	% at 80 uM			
13	1	IC50	=	31000		nM			
13	2	IC50	>	1000		nM			
13	3	IC50	>	5000		nM			
14	4	% inhibition	=	80		% at 120 uM			
14	5	% inhibition	=	25		% at 120 uM			
14	18	% inhibition	=	55		% at 120 uM			
15	1	IC50							Could not determine
15	4	% inhibition	=						Could not determine
15	5	% inhibition							Could not determine
16	4	% inhibition	=	50		% at 120 uM			
16	5	% inhibition	=	0		% at 120 uM			
16	18	% inhibition	=	85		% at 120 uM			
17	4	% inhibition	=	0		% at 120 uM			
17	5	% inhibition	=	0		% at 120 uM			
17	18	% inhibition	=	80		% at 120 uM			
18	4	% inhibition	=	20		% at 120 uM			
18	5	% inhibition	=	75		% at 120 uM			
18	18	% inhibition	=	85		% at 120 uM			
19	1	IC50	=	26		nM			
19	2	IC50	=	11		nM	4		
19	3	IC50	=	36		nM	7		
